STRUCTURE,STRUCTURE_ID,ACTION,LEI,LEGAL_NAME,COUNTRY_INCORPORATION,COUNTRY_HEADQUARTERS,CATEGORY,SUBCATEGORY,LEGAL_FORM,POSTAL_CODE
datastructure,MD:LEI_DATA(1.0),I,001GPB6A9XPE8XJICC14,Fidelity Advisor Leveraged Company Stock Fund,US,US,FUND,,8888,02210
datastructure,MD:LEI_DATA(1.0),I,004L5FPTUREIWK9T2N63,"Hutchin Hill Capital, LP",US,US,GENERAL,,T91T,19808
datastructure,MD:LEI_DATA(1.0),I,00EHHQ2ZHDCFXJCPCL46,Vanguard Russell 1000 Growth Index Trust,US,US,FUND,,8888,19355
datastructure,MD:LEI_DATA(1.0),I,00GBW0Z2GYIER7DHDS71,"ARISTEIA CAPITAL, L.L.C.",US,US,GENERAL,,HZEH,19801
datastructure,MD:LEI_DATA(1.0),I,00KLB2PFTM3060S2N216,Oakmark International Fund,US,US,FUND,,8888,02110
datastructure,MD:LEI_DATA(1.0),I,00QDBXDXLLF3W3JJJO36,Prudential Investment Portfolios 18,US,US,FUND,,8888,19801
datastructure,MD:LEI_DATA(1.0),I,00TV1D5YIV5IDUGWBW29,Ceridian Corporation Retirement Plan Trust,US,US,GENERAL,,8888,19801
datastructure,MD:LEI_DATA(1.0),I,00W0SLGGVF0QQ5Q36N03,"GE Pacific-3 Holdings, Inc.",US,US,GENERAL,,XTIQ,19801
datastructure,MD:LEI_DATA(1.0),I,00X5RQKJQQJFFX0WPA53,"The Greater Morristown Young Men's Christian Association, Inc.",US,US,GENERAL,,XSNP,07927-2003
datastructure,MD:LEI_DATA(1.0),I,00X8DSV26QKJPKUT5B34,T. Rowe Price Summit Municipal Income Fund,US,US,FUND,,8888,21202
datastructure,MD:LEI_DATA(1.0),I,010CMKZ3VON21WF2ZD45,GE AVIATION CZECH S.R.O.,CZ,CZ,GENERAL,,9HLU,199 02
datastructure,MD:LEI_DATA(1.0),I,010G7UHBHEI87EKP0Q97,"AQR DELTA SAPPHIRE FUND, L.P.",US,US,FUND,,8888,19904
datastructure,MD:LEI_DATA(1.0),I,010PWNH4K3BLIC3I7R03,GESTION PLACEMENTS DESJARDINS INC.,CA,CA,GENERAL,,UG3Z,H5B 1E4
